Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Base Gel Limne,1000,"R$ 0,0178",100%,1000,"R$ 0,02","R$ 17,76"
Essência Cosmética 100ml,5,"R$ 0,2900",100%,5,"R$ 0,29","R$ 1,45"
Garrafa Coquinho 200ml c/tp Degust.,5,"R$ 2,1100",100%,5,"R$ 2,11","R$ 10,55"
Vinil Lion Mix,"0,75","R$ 3,3700",100%,"0,75","R$ 3,37","R$ 2,53"
Outros,10,"R$ 0,1000",100%,10,"R$ 0,10","R$ 1,00"
