Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Sal Refinado,1000,"R$ 0,0030",100%,1000,"R$ 0,00","R$ 3,00"
Açucar Refinado,200,"R$ 0,0050",100%,200,"R$ 0,01","R$ 1,00"
Óleo de Semente de Uva ML,150,"R$ 0,0682",100%,150,"R$ 0,07","R$ 10,24"
Glicerina bi-destilada V&G 500ml,70,"R$ 0,0200",100%,70,"R$ 0,02","R$ 1,40"
Essência Cosmética 100ml,50,"R$ 0,2900",100%,50,"R$ 0,29","R$ 14,50"
Pote Esfoliante 350g ML,5,"R$ 4,5800",100%,5,"R$ 4,58","R$ 22,90"
Adesivo Glossy,"1,5","R$ 0,8900",100%,"1,5","R$ 0,89","R$ 1,34"
