Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Base Hidratante Limne,1000,"R$ 0,0365",100%,1000,"R$ 0,04","R$ 36,54"
Essência Cosmética 100ml,5,"R$ 0,2900",100%,5,"R$ 0,29","R$ 1,45"
Bisnaga Hidratante 200ml ML,5,"R$ 2,7200",100%,5,"R$ 2,72","R$ 13,60"
Vinil Lion Mix,"0,2","R$ 3,3700",100%,"0,2","R$ 3,37","R$ 0,67"
Outros,10,"R$ 0,1000",100%,10,"R$ 0,10","R$ 1,00"
