Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Glicerina Branca V&G 1 Kg,1600,"R$ 0,0193",100%,1600,"R$ 0,02","R$ 30,94"
Essência Cosmética 100ml,75,"R$ 0,2900",100%,75,"R$ 0,29","R$ 21,75"
Lauril V&G 1L,75,"R$ 0,0180",100%,75,"R$ 0,02","R$ 1,35"
Extrato Glicólico Aveia 100ml,40,"R$ 0,0740",100%,40,"R$ 0,07","R$ 2,96"
Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
