Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Glicerina Transparente V&G 1Kg,1000,"R$ 0,0193",100%,1000,"R$ 0,02","R$ 19,34"
Essência Cosmética 100ml,50,"R$ 0,2900",100%,50,"R$ 0,29","R$ 14,50"
Lauril V&G 1L,30,"R$ 0,0180",100%,30,"R$ 0,02","R$ 0,54"
Bucha Vegetal,3,"R$ 1,4900",100%,3,"R$ 1,49","R$ 4,47"
Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
