Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Renex V&G 500ml,50,"R$ 0,0530",100%,50,"R$ 0,05","R$ 2,65"
Álcool de Cereais V&G 1L,200,"R$ 0,0180",100%,200,"R$ 0,02","R$ 3,60"
Essência Cosmética 100ml,50,"R$ 0,2900",100%,50,"R$ 0,29","R$ 14,50"
Garrafa Água Perf. 250ml  Degust.,4,"R$ 1,6100",100%,4,"R$ 1,61","R$ 6,44"
Gatilho Água Perf. 250ml Degust.,4,"R$ 2,9500",100%,4,"R$ 2,95","R$ 11,80"
Outros,"0,2","R$ 0,1000",100%,"0,2","R$ 0,10","R$ 0,02"
Vinil Lion Mix,"0,125","R$ 3,3700",100%,"0,13","R$ 3,37","R$ 0,42"
Água Mineral,700,"R$ 0,0007",100%,700,"R$ 0,00","R$ 0,46"
