Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Base Vela V&G 900g,132,"R$ 0,0450",100%,132,"R$ 0,05","R$ 5,94"
Essência para Velas,13,"R$ 0,3630",100%,13,"R$ 0,36","R$ 4,72"
Pote Pianezza 210ml c/tp Degust.,1,"R$ 6,0600",100%,1,"R$ 6,06","R$ 6,06"
Pavio Vela ML,1,"R$ 0,3200",100%,1,"R$ 0,32","R$ 0,32"
Vinil Lion Mix,"0,053","R$ 3,3700",100%,"0,05","R$ 3,37","R$ 0,18"
Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
