Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Glicerina Branca V&G 1 Kg,850,"R$ 0,0193",100%,850,"R$ 0,02","R$ 16,44"
Essência Cosmética 100ml,50,"R$ 0,2900",100%,50,"R$ 0,29","R$ 14,50"
Lauril V&G 1L,30,"R$ 0,0180",100%,30,"R$ 0,02","R$ 0,54"
