Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Pote Vidro Geleinha 40g c/tp Degust.,4,"R$ 2,2400",100%,4,"R$ 2,24","R$ 8,96"
Açucar Refinado,60,"R$ 0,0050",100%,60,"R$ 0,01","R$ 0,30"
Óleo de Rosa Mosqueta 500ml,30,"R$ 0,1377",100%,30,"R$ 0,14","R$ 4,13"
Manteiga de Karité,12,"R$ 0,1399",100%,12,"R$ 0,14","R$ 1,68"
Glicerina bi-destilada V&G 500ml,6,"R$ 0,0200",100%,6,"R$ 0,02","R$ 0,12"
Adesivo Glossy,"0,3","R$ 0,8900",100%,"0,3","R$ 0,89","R$ 0,27"
