Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Base Hidratante Limne,1000,"R$ 0,0365",100%,1000,"R$ 0,04","R$ 36,54"
Essência Cosmética 100ml,5,"R$ 0,2900",100%,5,"R$ 0,29","R$ 1,45"
Garrafa Hidratante 120ml,"6,7","R$ 1,8650",100%,"6,7","R$ 1,87","R$ 12,50"
Vinil Lion Mix,10,"R$ 3,3700",100%,10,"R$ 3,37","R$ 33,70"
Outros,,"R$ 0,1000",100%,0,"R$ 0,10","R$ 0,00"
