Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Glicerina Branca V&G 1 Kg,1600,"R$ 0,0193",100%,1600,"R$ 0,02","R$ 30,94"
Essência Cosmética 100ml,75,"R$ 0,2900",100%,75,"R$ 0,29","R$ 21,75"
Lauril V&G 1L,50,"R$ 0,0180",100%,50,"R$ 0,02","R$ 0,90"
Outros,2,"R$ 0,1000",100%,2,"R$ 0,10","R$ 0,20"
