Ingrediente,Quantidade Líquida (utilizada na receita),Valor Unitário,Rendimento,Quantidade Bruta,Valor Líquido,Valor Total
Glicerina Branca V&G 1 Kg,520,"R$ 0,0193",100%,520,"R$ 0,02","R$ 10,06"
Essência Cosmética 100ml,25,"R$ 0,2900",100%,25,"R$ 0,29","R$ 7,25"
Lauril V&G 1L,15,"R$ 0,0180",100%,15,"R$ 0,02","R$ 0,27"
Outros,3,"R$ 0,1000",100%,3,"R$ 0,10","R$ 0,30"
